question,answer,intent
Can you help me with: 30.What is the income parameter for grant of legal aid to a person??,"Based on Section 12 (h) of the Legal Services Authority Act,1987 and the prevailing State Regulation regarding grant of Legal Aid to a person having annual income less than a prescribed limit, a person may get free legal aid. Those persons who have annual income of less than the amount prescribed by the respective State Government, if the case is before any court other than the Supreme Court, and less than Rs. 5 Lakhs, if the case is before the Supreme Court, are eligible for free legal aid. The income ceiling limit as prescribed by different States/Union Territories is as under:S.NoS. No. States/Union Territories Income Ceiling Limit (Per Annum)Income Ceiling Limit (Per Annum)1.Andhra PradeshRs.3,00,000/-2.Arunachal PradeshRs.1,00,000/-3.AssamRs.3,00,000/-4.BiharRs.1,50,000/-5.ChhattisgarhRs. 1,50,000/-6.GoaRs.3,00,000/-7.GujaratRs.1,00,000/-8.HaryanaRs.3,00,000/-9.Himachal PradeshRs.3,00,000/-10.Jammu & KashmirRs.1,00,000/-11.JharkhandRs.3,00,00012.KarnatakaRs.3,00,00013.KeralaRs.300,00014.Madhya PradeshRs.1,00,00015.MaharashtraRs.3,00,00016.ManipurRs.3,00,00017.MeghalayaRs.1,00,00018.MizoramRs. 25,00019.NagalandRs.1,00,00020.OdishaRs.3,00,00021.PunjabRs.3,00,00022.RajasthanRs.3,00,00023.SikkimRs. 3,00,00024.TelanganaRs.1,00,00025.Tamil NaduRs.3,00,00026.TripuraRs. 1,50,00027.Uttar PradeshRs.1,00,00028.UttarakhandRs.3,00,00029.West BengalRs. 1,00,00030.Andaman & Nicobar IslandsRs.3,00,00031.Chandigarh UTRs.3,00,00032.Dadra & Nagar Haveli UTRs.15,00033.Daman & DiuRs.1,00,00034.DelhiGeneral –Rs. 3,00,000, Senior citizen- Rs. 4,00,000, Transgender – Rs. 4,00,00035.LakshadweepRs.9,00036.PuducherryRs.1,00,000As per Section 13(2) of the Legal Services Authorities Act, 1987, an affidavit made by a person as to his income is generally regarded as sufficient for making him/her eligible for the entitlement of legal services under the Act, unless the concerned Authority has reasons to question or disbelief such affidavit.",legal_aid_info
What is the procedure for: 54.	will the information given by a legal aid applicant be safe and privileged with the legal services institutions??,"Yes, the personal information of the clients approaching the Legal Services Authorities is kept confidential.",legal_aid_info
How do I go about 55.	can one get free legal aid lawyer at any stage of case? can one get free legal aid at the time of appeal even though a person had a personal lawyer before the appellate stage??,"Yes, one can apply to get free legal aid at any stage of the case as long as one is eligible to obtain free legal services as per Section 12 of the Legal Services Authorities Act, 1987. Even if a person had a personal lawyer before and now requires a legal aid lawyer only at the stage of appeal (and is eligible under Section 12 of the Legal Services Authorities Act, 1987), the person can make an application to avail the same. Even if a person has engaged a private lawyer, he/ she can also get second opinion from Panel Lawyers.",legal_aid_info
How do I get bail in India?,You must apply for bail through your advocate. Courts may grant bail based on the severity of the offense.,bail_procedure
I want to understand 43.	who is a legal aid defence counsel?,Legal Aid Defence Counsels are appointed by the District Legal Services Authority to provide legal representation in criminal matters within the district. They are attached to the Legal Aid Defence Counsel office and are dedicated only to provide legal aid services i.e. they cannot take up any private legal cases. They are neither Government pleaders or advocates nor public servants.,legal_aid_info
Please explain: 41.	Who provides legal aid?,"Legal aid providers include Panel Lawyers, Legal Aid Defence Counsels and Paralegal Volunteers, who are empanelled with the Legal Services Institutions. These persons are neither government lawyers/ agents or public servants.",legal_aid_info
What is the procedure for: 56.	what is the procedure adopted after a person submits an application for legal aid with the legal services institutions??,"Legal aid is provided to the entitled persons through legal services authorities existing from the National to Taluka levels including the NALSA, State Legal Services Authorities, District Legal Services Authorities, Taluka Legal Services Committees, Supreme Court Legal Services Committee and High Court Legal Services Committees. If, however, an application or request for legal aid is received by NALSA, NALSA forwards the same to the concerned Legal Services Institution. Once the application is submitted with the proper authority, it would be perused by the concerned Legal Services Institution as to what action is needed upon the same. The information about the next step on the application would then be sent to the parties concerned. The action taken on an application received would vary from providing counselling/advice to the parties, providing a lawyer to represent them in the court, etc.",legal_aid_info
Legal guidance needed: 53.	Can Legal Services Institutions assist individuals facing discrimination based on caste or religion?,"Under Section 12 (a) of the Legal Services Authorities Act, 1987, a member of a Scheduled Caste or Scheduled Tribe is entitled to seek free legal aid. Such persons can approach their nearest Legal Services Institution or visit Legal Services Clinics to avail free legal aid.",general_legal_service
What rights do children have under Indian law?,"Children have rights to education, protection, and development under various laws.",child_rights
What is the procedure for: 38. is a victim or a complainant who is aggrieved by an order of a court entitled to grant of free legal aid??,"Yes, if he meets the eligibility criteria of Section 12 of the Legal Services Authorities Act, 1987.",legal_aid_info
"Please explain: 25. Is a person who is in custody, including custody in a protective home or in a psychiatric hospital or psychiatric nursing home eligible for free legal aid?","Yes. Section 12 of the Legal Services Authorities Act, 1987 provides for the same.",legal_aid_info
Legal guidance needed: 29. Does NALSA have any specific schemes for different categories of legal aid beneficiaries?,"Yes. NALSA has several Preventive & Strategic Legal Services Schemes, the compendium of which is available at https://nalsa.gov.in/acts-rules/preventive-strategic-legal-services-schemes . The list of schemes is as under:NALSA (Legal Services to Disaster Victims through Legal Services Authorities) Scheme, 2010;NALSA (Victims of Trafficking and Commercial Sexual Exploitation) Scheme, 2015;NALSA (Legal Services to the Workers in the Unorganised Sector) Scheme, 2015;NALSA (Child Friendly Legal Services to Children and their Protection) Scheme, 2015;NALSA (Legal Services to the Mentally Ill and Mentally Disabled Persons) Scheme, 2015;NALSA (Effective Implementation of Poverty Alleviation) Scheme, 2015;NALSA (Protection and Enforcement of Tribal Rights) Scheme, 2015;NALSA (Legal Services to the Victims of Drug Abuse and Eradication of Drug Menace) Scheme, 2015;NALSA (Legal Services to Senior Citizens) Scheme, 2016;NALSA (Legal Services to Victims of Acid Attacks) Scheme, 2016;NALSA’s Compensation Scheme for Women Victims/Survivors of Sexual Assault/other Crimes, 2018;Early Access to Justice at Pre-Arrest, Arrest and Remand Stag",legal_aid_info
"What is the procedure for: 46.	can legal services institutions under the legal services authorities act, 1987, assist with matters related to family disputes and domestic violence??","Yes, even in matrimonial cases, legal aid is provided.",general_legal_service
How do I get bail in India?,You must apply for bail through your advocate. Courts may grant bail based on the severity of the offense.,bail_procedure
What should I do for: 47.	can legal services institutions under the act provide assistance in accessing justice for victims of sexual harassment or assault??,"Yes. Legal Services Institutions are duty bound to provide legal aid to such categories of persons as well as per Section 12(c) of the Legal Services Authorities Act, 1987. Section 40 of the Protection of Children from Sexual Offences Act, 2012 also provides for the same. NALSA has also come up with a Scheme titled “Compensation Scheme for Women Victims/Survivors of Sexual Assault/other Crimes – 2018”, which has been used as a template by other States to formulate a Scheme for victim compensation. Victims of sexual crimes are paid compensation in terms of the prevailing schemes for victim compensation and the SLSAs are the disbursement authority for the compensation.",general_legal_service
What should I do for: 24. is an industrial workman eligible for free legal aid??,"Yes. Section 12 of the Legal Services Authorities Act, 1987 provides for the same.",legal_aid_info
What is the procedure for: 33. can a person apply for free legal aid in a case in which he was earlier being represented by another private counsel??,"Yes. One may still apply for free legal aid. However, before assignment of a legal aid counsel, the person may have to furnish a No Objection Certificate from the earlier counsel or copy of judicial order discharging the private counsel (where applicable).",legal_aid_info
Help me know about: 30.What is the income parameter for grant of legal aid to a person?,"Based on Section 12 (h) of the Legal Services Authority Act,1987 and the prevailing State Regulation regarding grant of Legal Aid to a person having annual income less than a prescribed limit, a person may get free legal aid. Those persons who have annual income of less than the amount prescribed by the respective State Government, if the case is before any court other than the Supreme Court, and less than Rs. 5 Lakhs, if the case is before the Supreme Court, are eligible for free legal aid. The income ceiling limit as prescribed by different States/Union Territories is as under:S.NoS. No. States/Union Territories Income Ceiling Limit (Per Annum)Income Ceiling Limit (Per Annum)1.Andhra PradeshRs.3,00,000/-2.Arunachal PradeshRs.1,00,000/-3.AssamRs.3,00,000/-4.BiharRs.1,50,000/-5.ChhattisgarhRs. 1,50,000/-6.GoaRs.3,00,000/-7.GujaratRs.1,00,000/-8.HaryanaRs.3,00,000/-9.Himachal PradeshRs.3,00,000/-10.Jammu & KashmirRs.1,00,000/-11.JharkhandRs.3,00,00012.KarnatakaRs.3,00,00013.KeralaRs.300,00014.Madhya PradeshRs.1,00,00015.MaharashtraRs.3,00,00016.ManipurRs.3,00,00017.MeghalayaRs.1,00,00018.MizoramRs. 25,00019.NagalandRs.1,00,00020.OdishaRs.3,00,00021.PunjabRs.3,00,00022.RajasthanRs.3,00,00023.SikkimRs. 3,00,00024.TelanganaRs.1,00,00025.Tamil NaduRs.3,00,00026.TripuraRs. 1,50,00027.Uttar PradeshRs.1,00,00028.UttarakhandRs.3,00,00029.West BengalRs. 1,00,00030.Andaman & Nicobar IslandsRs.3,00,00031.Chandigarh UTRs.3,00,00032.Dadra & Nagar Haveli UTRs.15,00033.Daman & DiuRs.1,00,00034.DelhiGeneral –Rs. 3,00,000, Senior citizen- Rs. 4,00,000, Transgender – Rs. 4,00,00035.LakshadweepRs.9,00036.PuducherryRs.1,00,000As per Section 13(2) of the Legal Services Authorities Act, 1987, an affidavit made by a person as to his income is generally regarded as sufficient for making him/her eligible for the entitlement of legal services under the Act, unless the concerned Authority has reasons to question or disbelief such affidavit.",legal_aid_info
Help me know about: 63.	Can a person get legal advice for more than one matter?,"Yes, a person can get legal advice for more than one matter.",general_legal_info
"Please explain: 40. Can a person who is abroad but has a case to file or defend in India, get legal aid?","Yes, such a person may apply for legal aid through email or LSMS Portal, provided he/ she meets the criteria under Section 12 and 13 of the Legal Services Authorities Act, 1987.",legal_aid_info
How do I go about 27. can persons called for questioning at the police station or persons arrested by the police avail free legal aid??,"Yes, as per NALSA’s Early Access to Justice at Pre-Arrest, Arrest and Remand framework, persons called for questioning i.e. suspects and persons arrested by the police can also avail free legal aid.",legal_aid_info
"What are the steps involved in 9. whether one needs to pay for legal services provided by legal services institutions constituted under the legal services authorities act, 1987??",No. Legal services provided by the Legal Services Institutions are completely free of cost to the beneficiary. All costs involved are borne by the Legal Services Institutions.,general_legal_service
What is the procedure for: 77.	what procedure is adopted by the permanent lok adalat (public utility services) while conducting conciliation proceedings or deciding a dispute on merit.?,"Permanent Lok Adalat shall be guided by the principles of natural justice, objectivity, fair play, equity and other principles of justice as per Section 22-D of the Legal Services Authorities Act, 1987.",lok_adalat_info
44.	Who are para-legal volunteers?,Paralegal volunteers (PLVs) are volunteers selected from diverse social and educational backgrounds through the process of NALSA’s Para-Legal Volunteers Scheme. They are expected to act as intermediaries in bridging the gap between the common people and the Legal Services Institutions reaching out to the people at their doorsteps.,general_legal_info
What are the steps involved in 35. is there any income criteria to be considered while considering the question of grant of legal aid to a person of sc/ st community??,No. The very fact that a person belongs to the SC/ST community entitles him to get free legal aid. The legal aid application needs to be supported by a certificate issued by the appropriate authority in this regard.,legal_aid_info
Help me know about: 17. Whether a financially independent woman is eligible for free legal aid?,"Yes, a woman is entitled for free legal aid irrespective of her income or financial status. A woman is eligible to apply for free legal aid by virtue of Section 12(c) of the Legal Services Authorities Act, 1987.",legal_aid_info
Legal guidance needed: 6. What is the Supreme Court Legal Services Committee? What is its role and responsibility?,"The Supreme Court Legal Services Committee (SCLSC) is constituted under Section 3A of the Legal Services Authorities Act, 1987, to provide free and competent legal services to those who fall within the purview of Section 12 of the Legal Services Authorities Act, 1987, in cases that fall under the jurisdiction of the Supreme Court of India.",court_procedure
What should I do for: 37. can a convict apply for free legal aid to challenge his conviction before the high court or supreme court??,Yes. He can apply for free legal aid in these scenarios as well. He may apply through the prison authorities or the prison legal aid clinic established by the Legal Services Institutions along with the legal aid formal application and custody certificate.,legal_aid_info
What rights do children have under Indian law?,"Children have rights to education, protection, and development under various laws.",child_rights
What happens in a court's first hearing?,The court hears initial arguments and sets dates for evidence submission or next steps.,first_hearing_info
I want to understand 28. can persons avail of legal aid services at the time of production and remand hearings in magistrate courts?,"Yes, persons can avail of free legal aid services at the time of production and remand hearing in Magistrate Courts including the courts of Executive Magistrates.",legal_aid_info
I want to understand 68.	what is a ‘public utility service’?,"A ‘Public Utility Service’, as defined by Section 22-A(b) of the Legal Services Authorities Act, 1987, means any-Transport service for the carriage of passengers or goods by air, road or water; orPostal, telegraph or telephone service; orsupply of power, light or water to the public by any establishment; orSystem of public conservancy or sanitation; orService in hospital or dispensary; orinsurance service; orEducation or educational institutions;Housing and real-estate services and includes any service which the Central Government or the State Government, as the case may be, may, in the public interest, by notification declare to be a public utility service for the purpose of Chapter VI-A of the Act.",general_legal_info
"Help me know about: 9. Whether one needs to pay for legal services provided by Legal Services Institutions constituted under the Legal Services Authorities Act, 1987?",No. Legal services provided by the Legal Services Institutions are completely free of cost to the beneficiary. All costs involved are borne by the Legal Services Institutions.,general_legal_service
Help me know about: 71.	Whether a party in a pending case before a Civil Court/Criminal Court or a Statutory Forum may approach Permanent Lok Adalats for adjudication of a case pertaining to a Public Utility Services?,"No. A party to a dispute can only make an application to the Permanent Lok Adalats for Public Utility Services for settlement of dispute, before the dispute is brought before in any Court or Statutory Forum and not thereafter.",lok_adalat_info
Are senior citizens eligible for legal aid?,"Yes, senior citizens are entitled to free legal aid under Section 12 of the Act.",senior_citizen_support
What are the steps involved in 54.	will the information given by a legal aid applicant be safe and privileged with the legal services institutions??,"Yes, the personal information of the clients approaching the Legal Services Authorities is kept confidential.",legal_aid_info
Where can I get help if I'm a crime victim?,You can approach the DLSA or police to get immediate help and legal support.,victim_support
What is Section 498A?,It protects women from cruelty by husband or relatives under Indian Penal Code.,section_498a_info
Please explain: 34. Can a person who is aggrieved by an order of a High Court or the Supreme Court get free legal aid to file an appeal/ curative petition etc.?,Yes. One can apply for legal aid for challenging orders passed by the High Courts as well as the Supreme Court.,legal_aid_info
What should I do for: 71.	whether a party in a pending case before a civil court/criminal court or a statutory forum may approach permanent lok adalats for adjudication of a case pertaining to a public utility services??,"No. A party to a dispute can only make an application to the Permanent Lok Adalats for Public Utility Services for settlement of dispute, before the dispute is brought before in any Court or Statutory Forum and not thereafter.",lok_adalat_info
What rights do children have under Indian law?,"Children have rights to education, protection, and development under various laws.",child_rights
What is the procedure for: 51.	can legal services institutions assist in cases of wrongful incarceration or miscarriage of justice??,"Yes, Legal Services Institutions can offer legal aid to individuals facing wrongful incarceration, striving to rectify miscarriages of justice through proper legal representation. The concerned Legal Services Institution identify such persons who are wrongly incarcerated and then assist them to file appropriate applications before the concerned court or board.",general_legal_service
"What are the steps involved in 76.	whether the permanent lok adalat (public utility services) is bound by the code of civil procedure, 1908 and the indian evidence act, 1872??","No, the Permanent Lok Adalat is not bound by the Code of Civil Procedure, 1908 and the Indian Evidence Act, 1872.",lok_adalat_info
29. Does NALSA have any specific schemes for different categories of legal aid beneficiaries?,"Yes. NALSA has several Preventive & Strategic Legal Services Schemes, the compendium of which is available at https://nalsa.gov.in/acts-rules/preventive-strategic-legal-services-schemes . The list of schemes is as under:NALSA (Legal Services to Disaster Victims through Legal Services Authorities) Scheme, 2010;NALSA (Victims of Trafficking and Commercial Sexual Exploitation) Scheme, 2015;NALSA (Legal Services to the Workers in the Unorganised Sector) Scheme, 2015;NALSA (Child Friendly Legal Services to Children and their Protection) Scheme, 2015;NALSA (Legal Services to the Mentally Ill and Mentally Disabled Persons) Scheme, 2015;NALSA (Effective Implementation of Poverty Alleviation) Scheme, 2015;NALSA (Protection and Enforcement of Tribal Rights) Scheme, 2015;NALSA (Legal Services to the Victims of Drug Abuse and Eradication of Drug Menace) Scheme, 2015;NALSA (Legal Services to Senior Citizens) Scheme, 2016;NALSA (Legal Services to Victims of Acid Attacks) Scheme, 2016;NALSA’s Compensation Scheme for Women Victims/Survivors of Sexual Assault/other Crimes, 2018;Early Access to Justice at Pre-Arrest, Arrest and Remand Stag",legal_aid_info
I want to understand 52.	can legal services institutions assist in cases of wrongful termination or unfair labour practices?,"Yes, Legal Services Institutions can provide legal aid in cases of wrongful termination or unfair labour practices under Section 12 (f) of the Legal Services Authorities Act, 1987. Their issues are also addressed under the NALSA (Legal Services to the Workers in the Unorganized Sector) Scheme, 2015 by mobilizing the machinery of the State Government and the District Administration to identify and register all unorganized workers in all categories and to extend the benefits of all government schemes.",general_legal_service
I want to understand 79. how is an award passed by permanent lok adalat?,The Award made by Permanent Lok Adalat shall be by a majority  of the persons constituting the Permanent Lok Adalat.,lok_adalat_info
