section_number,section_title,description,example_use_cases,punishment
23,"Wrongful Gain","This section defines 'wrongful gain' as gain by unlawful means of property to which the person gaining it is not legally entitled.","A person keeping found property they know belongs to another; A shopkeeper overcharging by tampering with weights.","N/A (Interpretive)"
24,"Wrongful Loss","This section defines 'wrongful loss' as the loss by unlawful means of property to which the person losing it is legally entitled.","A person is deprived of their wallet due to theft; A tenant intentionally damages the landlord's property.","N/A (Interpretive)"
25,"Dishonestly","This section defines the mental state of acting 'dishonestly'. A person acts dishonestly if they do something with the intention of causing wrongful gain to one person or wrongful loss to another person.","Intending to permanently deprive an owner of their car (theft); Cheating someone to gain money.","N/A (Interpretive - Element of an offence)"
26,"Fraudulently","This section defines the mental state of acting 'fraudulently'. A person acts fraudulently if they intend to defraud by deceiving another person. The intent to deceive is key.","Forging a document to deceive a court; Making a false promise to induce someone to deliver property.","N/A (Interpretive - Element of an offence)"
27,"Property in Possession of Wife, Clerk or Servant","This section states that when property is in the possession of a person's wife, clerk, or servant, on that person's account, the property is deemed to be in that person's possession.","A husband is liable if his wife, with his knowledge, possesses stolen jewellery; A master is responsible for property held by his servant on his behalf.","N/A (Interpretive)"
28,"Counterfeit","This section defines what it means to 'counterfeit'. A person is said to counterfeit who causes one thing to resemble another thing, intending to use it for deception or knowing it is likely to be used for deception.","Creating fake currency notes; Making a replica of a famous painting to sell as the original.","N/A (Interpretive - Element of an offence)"
29,"Document","This section defines a 'document' very broadly. It denotes any matter expressed or described upon any substance by means of letters, figures, or marks, intended to be used as evidence of that matter.","A paper contract, an electronic record, a will, a birth certificate, a railway ticket, a map.","N/A (Interpretive)"
29A,"Electronic Record","This section defines 'Electronic Record' as data, record, or data generated, image or sound stored, received or sent in an electronic form.","An email, a WhatsApp message, a digital spreadsheet, a computer log file, a scanned PDF.","N/A (Interpretive)"
30,"Valuable Security","This section defines a 'valuable security' as a document that creates, extends, transfers, restricts, extinguishes, or releases any legal right, or which gives anyone a legal right to anything.","A promissory note, a will, a deed of property, a share certificate, a cheque.","N/A (Interpretive)"
31,"A Will","This section defines a 'Will' as any testamentary document, meaning any document that outlines how a person's property is to be distributed after their death.","A written and witnessed will; A holographic will (entirely in the testator's handwriting).","N/A (Interpretive)"
32,"Words Referring to Acts Include Illegal Omissions","This section states that throughout the Code, every word which refers to an 'act' done, also applies to an 'illegal omission' (a failure to perform a legal duty), unless the context suggests otherwise.","A public servant omitting to arrest a person they are duty-bound to arrest; A parent omitting to provide food to their child.","N/A (Interpretive)"
33,"Act / Omission","This section defines an 'act' as a single bodily movement and a series of bodily movements. It defines an 'omission' as a failure to perform a bodily movement one is legally obliged to perform.","The act of swinging a fist (assault); The omission of a lifeguard to save a drowning swimmer.","N/A (Interpretive)"
34,"Acts Done by Several Persons in Furtherance of Common Intention","This section establishes the principle of joint liability. When a criminal act is done by several people in furtherance of a common intention, each person is liable for that act as if it were done by them alone.","A and B plan to rob C. A holds C while B takes the wallet. Both are liable for robbery as they had a common intention.","Each person is liable for the punishment of the offence committed."
35,"When Such an Act is Criminal by Reason of its Being Done With a Criminal Knowledge or Intention","This section distinguishes offences that require a general criminal intention (mens rea) from those that require a specific intention. Liability depends on the intention or knowledge of the individual.","A person may generally intend to assault, but a specific intention to murder is required for murder.","Punishment as per the specific intention proved"
36,"Effect Caused Partly by Act and Partly by Omission","This section states that wherever the causing of a certain effect is an offence, it is immaterial whether the effect was caused by an act, by an omission, or partly by act and partly by omission.","A person poisons someone (act) and then omits to call a doctor (omission), resulting in death. They are liable for murder.","Punishment as per the specific offence committed"
37,"Co-operation by Doing One of Several Acts Constituting an Offence","This section states that when an offence is committed by several acts, whoever intentionally co-operates in the commission of that offence by doing any one of those acts is considered to have committed the offence.","In a large fraud, one person forges documents, another makes false promises. Both co-operate and are liable for cheating.","Punishment as for the offence committed"
38,"Persons Concerned in Criminal Act May Be Guilty of Different Offences","This section clarifies that where several people are engaged in a criminal act, they may each be guilty of different offences based on their individual intentions and actions.","A group attacks a victim. One intends to murder and strikes a fatal blow, while another only intended to cause hurt. The first is guilty of murder, the second of hurt.","Punishment as per the individual offence committed"
39,"Voluntarily","This section defines the key term 'voluntarily'. A person is said to cause an effect 'voluntarily' when they cause it by means whereby they intended to cause it, or by means which they knew were likely to cause it.","Throwing a stone at a crowd; you may not intend to hit anyone, but you know it is likely. The injury is caused voluntarily.","N/A (Interpretive - Element of an offence)"
40,"Offence","This section defines the term 'Offence'. It denotes a thing made punishable by the Indian Penal Code. In subsequent parts of the Code, it is also used to denote a thing punishable under a special or local law.","Theft is an 'offence' under the IPC; Violating a municipal bye-law is an 'offence' under a local law.","N/A (Interpretive)"
41,"Special Law","This section defines a 'Special Law' as a law applicable to a particular subject, class, or area, as opposed to a general law like the IPC.","The Arms Act, The Narcotic Drugs and Psychotropic Substances (NDPS) Act, The Companies Act.","N/A (Interpretive)"
42,"Local Law","This section defines a 'Local Law' as a law applicable only to a specific part of India.","A state government act; A municipal corporation's bye-laws.","N/A (Interpretive)"
43,"Illegal / Legally Bound to Do","This section defines 'illegal'. It applies to everything which is an offence, or which is prohibited by law, or which furnishes ground for a civil lawsuit. It also defines 'legally bound to do' as anything the law requires to be done.","Trespassing is 'illegal' even if not a full offence; A public servant is 'legally bound' to perform their duty.","N/A (Interpretive)"
44,"Injury","This section defines 'injury' very broadly. It denotes any harm whatever illegally caused to any person, in body, mind, reputation, or property.","Physical harm from an assault, mental trauma from criminal intimidation, damage to reputation from defamation, loss from theft.","N/A (Interpretive)"
45,"Life","This section defines 'Life' as the life of a human being, unless the context indicates otherwise. This definition is crucial for offences against the human body.","The offence of 'attempt to murder' applies to human life; The term is not used for the life of an animal.","N/A (Interpretive)"
46,"Death","This section defines 'Death' as the death of a human being.","The result required for the offence of culpable homicide or murder.","N/A (Interpretive)"
47,"Animal","This section defines 'Animal' as any living creature other than a human being.","Cruelty to animals; Theft of cattle.","N/A (Interpretive)"
48,"Vessel","This section defines 'Vessel' as anything made for the conveyance by water of human beings or property. This includes everything from a large ship to a small boat.","A crime committed on a ferry; Smuggling goods on a boat.","N/A (Interpretive)"
49,"Year / Month","This section states that wherever the word 'year' or 'month' is used, it is to be understood according to the British Gregorian calendar. A 'year' means 12 months, a 'month' means 30 days.","Calculating the length of a prison sentence of 'one year'.","N/A (Interpretive)"
50,"Section","This section states that the word 'section' refers to a section of the Indian Penal Code itself. The word is to be understood in this sense throughout the Code.","Referring to 'Section 379' means Section 379 of the IPC.","N/A (Interpretive)"
51,"Oath","This section defines the term 'oath' to include a solemn affirmation and every declaration mandated by law where an person is bound to tell the truth. This is crucial for offences related to false evidence.","A witness swearing on the Gita in court; A person making a solemn affirmation instead of a religious oath.","N/A (Interpretive)"
52,"Good Faith","This is a vital defensive concept. An thing is said to be done or believed in 'good faith' if it is done with due care and attention. Mere carelessness is not good faith; honesty of purpose must be accompanied by diligence.","A doctor performing a risky but necessary surgery with consent; A person mistakenly but reasonably identifying someone as a thief.","N/A (Interpretive - Often a defense)"
53,"Punishment","This section defines 'punishment' under the IPC. The punishments to which offenders are liable are: Death, Imprisonment for life (as defined in S.55), Imprisonment (rigorous or simple), Forfeiture of property, and Fine.","Sentencing a convict for murder (death or life imprisonment); Sentencing for theft (imprisonment and/or fine).","As per the specific section: Death, Imprisonment, Fine, Forfeiture"
53A,"Construction of reference to transportation","[Repealed] This section, which dealt with the punishment of transportation, has been omitted as the punishment is no longer awarded.","N/A","N/A"
54,"Commutation of sentence of death","This section states that the appropriate Government has the power to commute a sentence of death to any other punishment authorized by the IPC.","The President of India commuting a death sentence to life imprisonment.","N/A (Procedural)"
55,"Commutation of sentence of imprisonment for life","This section states that the appropriate Government has the power to commute a sentence of imprisonment for life to imprisonment for a term not exceeding fourteen years or to a fine.","The State Government commuting a life sentence to a 10-year prison term.","N/A (Procedural)"
55A,"Definition of appropriate Government","This section defines 'appropriate Government' for the purposes of Sections 54 and 55. It means the Central Government for cases investigated by Delhi Special Police Establishment (CBI) or under a Central Act, and the State Government in other cases.","The Central Government commuting the sentence of a convict in a CBI case; The State Government commuting a sentence in a state police case.","N/A (Interpretive)"
56,"Sentence of Europeans and Americans to penal servitude","[Repealed] This racially discriminatory section has been omitted.","N/A","N/A"
57,"Fractions of terms of punishment","This section provides a rule of calculation: when calculating a fraction of a term of imprisonment, imprisonment for life shall be reckoned as equivalent to imprisonment for twenty years. This is for calculation purposes only and does not mean a life sentence is 20 years.","Calculating a commuted sentence; Forfeiture calculations where a fraction of a sentence is mentioned.","N/A (Interpretive - Calculation Rule)"
58,"Offenders sentenced to transportation how dealt with until transported","[Repealed] This section has been omitted.","N/A","N/A"
59,"Transportation instead of imprisonment","[Repealed] This section has been omitted.","N/A","N/A"
60,"Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple","This section grants courts the discretion to declare whether a sentence of imprisonment shall be rigorous (involving hard labour) or simple, or that part shall be one and part the other.","Sentencing a white-collar criminal to simple imprisonment; Sentencing a violent offender to rigorous imprisonment.","Imprisonment (Rigorous/Simple)"
61,"Sentence of forfeiture of property","[Repealed] This section, which provided for the sentence of forfeiture of property, has been omitted.","N/A","N/A"
62,"Forfeiture of property in respect of offenders punishable with death","[Repealed] This section has been omitted.","N/A","N/A"
63,"Amount of fine","This section states that when no sum is expressed to which a fine may extend, the amount of fine that may be imposed is unlimited, but it shall not be excessive.","Imposing a fine for an offence where the section only says '...shall be punished with imprisonment or fine.'","Fine (amount at court's discretion)"
64,"Sentence of imprisonment for non-payment of fine","This section allows a court to impose a term of imprisonment in default of payment of a fine. This imprisonment is in addition to a substantive sentence of imprisonment for the offence.","Sentencing a person to 6 months imprisonment for theft and an additional 1 month in default of paying a Rs. 5000 fine.","Imprisonment in default of fine (in addition to main punishment)"
65,"Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable","This section limits the term of imprisonment in default of fine. It must not exceed one-fourth of the maximum term of imprisonment fixed for the offence by the Code.","For an offence with a max sentence of 1 year (12 months) imprisonment, the default imprisonment for non-payment of fine cannot exceed 3 months.","Imprisonment not exceeding 1/4th of the maximum term for the offence"
66,"Description of imprisonment for non-payment of fine","This section states that the imprisonment awarded in default of payment of a fine shall be simple imprisonment.","A person unable to pay a fine serves a simple imprisonment term, not rigorous.","Simple Imprisonment"
67,"Imprisonment for non-payment of fine, when offence punishable with fine only","If the offence is punishable with fine only, the imprisonment in default of payment can be simple, and the term is limited by a scale based on the fine amount (e.g., up to 2 months for a fine of Rs. 50).","A traffic violator fined Rs. 1000 who fails to pay may be sentenced to simple imprisonment for a term not exceeding the scale in this section.","Simple Imprisonment (as per scale in the section)"
68,"Imprisonment to terminate on payment of fine","This section states that the imprisonment in default of paying a fine shall terminate whenever the fine is paid.","A person serving a 1-month default sentence is released immediately upon payment of the fine.","N/A (Procedural)"
69,"Termination of imprisonment on payment of proportional part of fine","If a fine is imposed with an alternative imprisonment and the fine is not paid, any part of the imprisonment already undergone shall be credited against the fine at a proportional rate.","A fine of Rs. 1000 with 10 days default imprisonment. After 5 days in jail, the offender can pay Rs. 500 to be released.","N/A (Procedural)"
70,"Fine leviable within six years, or during imprisonment—Death not to discharge property from liability","This section sets a six-year time limit for executing a fine (like recovering a debt). It also states that the death of the offender does not discharge their property from liability for the fine.","Recovering a fine from the estate of a convicted person who has died.","N/A (Limitation & Liability)"
71,"Limit of punishment of offence made up of several offences","Where an act constitutes multiple offences, or where a single act is both an offence itself and part of a larger offence, the offender cannot be punished more than once. They shall be punished for the offence which provides the greater punishment.","A single act of assault that causes grievous hurt: it is both assault (S.352) and causing grievous hurt (S.325). The person is punished under S.325, which has a harsher penalty.","Punishment for the graver offence only"
72,"Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which","In a case where it is doubtful which of several offences the facts prove, the offender shall be punished for the offence for which the lowest punishment is provided.","A person is charged with theft (S.379) or receiving stolen property (S.411). If the evidence is doubtful, they must be convicted under S.411 as it carries a lower minimum sentence.","Punishment for the offence with the lowest penalty"
73,"Solitary confinement","This section regulates the imposition of solitary confinement. It can only be imposed as part of a rigorous imprisonment sentence. Its duration must not exceed three months in total, with specific limits based on the sentence length.","A court sentencing a convict to life imprisonment may add a period of solitary confinement not exceeding three months.","Solitary Confinement (subject to limits in S.73, S.74)"
74,"Limit of solitary confinement","This section provides the precise limits: solitary confinement shall not exceed fourteen days at a time, with intervals of at least fourteen days between each period, and shall not exceed three months in total.","A sentence of one year rigorous imprisonment with solitary confinement: it can be imposed for 14 days, then a break of 14 days, then another 14 days, etc., up to a total of 3 months.","Solitary Confinement (as per the specified limits)"
75,"Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction","This section provides for enhanced punishment for a person who, having been previously convicted of an offence under Chapter XII (Offences against property) or Chapter XVII (Offences against property), is again convicted of any such offence.","A 'habitual offender' with a prior theft conviction is convicted of theft again; the court can impose a sentence longer than the standard maximum for theft.","Imprisonment which may extend to ten years (for the specific repeat offence)"
76,"Act done by a person bound, or by mistake of fact believing himself bound, by law","This is the first General Exception. It excuses an act done by a person who is, or who by a mistake of fact believes themselves to be, bound by law to do it.","A soldier firing on a mob under orders; A citizen arresting a person they mistakenly but reasonably believe is a wanted criminal.","No Punishment (Exception)"
77,"Act of Judge when acting judicially","This General Exception protects a Judge acting in their judicial capacity, provided they believe in good faith that they have jurisdiction to act.","A Judge passing a sentence or order within their court's jurisdiction.","No Punishment (Exception)"
78,"Act done pursuant to the judgment or order of Court","This General Exception protects any person who executes a Court's judgment or order, even if the Court later turns out to have no jurisdiction, provided the person executing it believed in good faith the Court had jurisdiction.","A bailiff seizing property under a court order; A prison warden imprisoning a person under a court warrant.","No Punishment (Exception)"
79,"Act done by a person justified, or by mistake of fact believing himself justified, by law","This General Exception excuses an act done by anyone who is justified by law, or who by a mistake of fact (not mistake of law) believes themselves to be justified by law, in doing it.","A person using force to defend their property against a thief; A person mistakenly but reasonably believing another is about to attack them and acting in self-defence.","No Punishment (Exception)"
80,"Accident in doing a lawful act","This General Exception excuses an act that is accidental and occurs while doing a lawful act, in a lawful manner, by lawful means, and with proper care and caution.","A person felling a tree with all due care, but the tree falls in an unexpected direction and kills a passerby.","No Punishment (Exception)"
81,"Act likely to cause harm, but done without criminal intent, and to prevent other harm","This General Exception excuses an act not intended to cause harm, and done to prevent or avoid harm to person or property, provided the harm caused is proportionate.","Throwing cargo overboard from a sinking ship to save lives; Breaking down a door to stop a fire from spreading.","No Punishment (Exception)"
82,"Act of a child under seven years of age","This General Exception provides absolute immunity from criminal liability for a child under seven years of age, due to a presumption of incapacity to form criminal intent (doli incapax).","A 6-year-old child picking up and taking a toy from a store is not guilty of theft.","No Punishment (Exception)"
83,"Act of a child above seven and under twelve of immature understanding","This General Exception provides immunity for a child between seven and twelve years of age if they have not attained sufficient maturity of understanding to judge the nature and consequences of their conduct.","A 10-year-old child with a proven learning disability commits an act without understanding its wrongfulness.","No Punishment (Exception)"
84,"Act of a person of unsound mind","This General Exception excuses an act done by a person who, at the time of doing it, was incapable of knowing the nature of the act or that it was wrong or contrary to law, due to unsoundness of mind.","A person in the midst of a psychotic episode who attacks someone believing them to be a demon.","No Punishment (Exception)"
85,"Act of a person incapable of judgment by reason of intoxication caused against his will","This General Exception excuses an act done by an intoxicated person, provided the intoxication was caused without their will or knowledge (e.g., forced, drugged, or deceived).","A person is given a spiked drink without their knowledge and, while intoxicated, commits assault.","No Punishment (Exception)"
86,"Offence requiring a particular intent or knowledge committed by one who is intoxicated","This section qualifies S.85. Voluntary intoxication does not excuse an offence. However, if an offence requires a specific intent (e.g., murder requires intent to kill), the court can consider whether the intoxication prevented the formation of that specific intent.","A voluntarily drunk person may be convicted of a lesser offence like culpable homicide not amounting to murder if they lacked the specific intent to kill due to intoxication.","Punishment for the offence (but intent may be negated for specific intent crimes)"
87,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent","This General Exception excuses an act not intended to cause death or grievous hurt, done with the consent of the victim (express or implied), even if it causes harm.","Injuries sustained in a sports match like boxing or football; A person consenting to a medical procedure or a tattoo.","No Punishment (Exception)"
88,"Act not intended to cause death, done by consent in good faith for person's benefit","This General Exception excuses an act done in good faith for the benefit of a person, even without their consent, provided it does not intend to cause death and the person cannot give consent. A surgeon performing an operation is protected.","A surgeon performing a necessary amputation on an unconscious patient to save their life.","No Punishment (Exception)"
89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian","This General Exception excuses an act done in good faith for the benefit of a child under 12 or a person of unsound mind, by their guardian or with the guardian's consent, provided it is not intended to cause death or grievous hurt.","A guardian of a minor authorizing a medical treatment; A parent reasonably chastising a child.","No Punishment (Exception)"
90,"Consent known to be given under fear or misconception","This section defines what is *not* valid consent. Consent is not valid if given under fear of injury, misconception of fact, by a person of unsound mind, or by a child under 12 unless given by their guardian.","Consenting to sexual intercourse because of a threat; Giving money to a person pretending to be a police officer.","N/A (Interpretive - vitiates consent)"
91,"Exclusion of acts which are offences independently of harm caused","The exceptions in S.87, S.88, and S.89 do not apply to acts that are offences by themselves, regardless of whether they cause harm or are done with consent.","Consent is no defence to causing grievous hurt for the purpose of extorting a confession (S.330) or to the offence of rape (S.375).","N/A (Interpretive - Limits exceptions)"
92,"Act done in good faith for benefit of a person without consent","This General Exception excuses an act done in good faith for the benefit of a person without their consent, where it is impossible to obtain consent and the act does not intend to cause death.","Pulling a person out of the way of a speeding car without asking; Providing emergency first aid to an unconscious person.","No Punishment (Exception)"
93,"Communication made in good faith","This General Exception excuses a communication made in good faith for the benefit of the person it is made to. It protects advice given honestly, even if it turns out to be harmful.","A doctor telling a patient a medicine is safe, based on current knowledge, but it later causes an allergic reaction.","No Punishment (Exception)"
94,"Act to which a person is compelled by threats","This General Exception excuses an act (other than murder and offences against the state punishable with death) done under threats that reasonably cause apprehension of instant death. The threat must be present and immediate.","A bank teller handing over money to an armed robber who threatens to shoot them immediately.","No Punishment (Exception) (Except for murder and certain state offences)"
95,"Act causing slight harm","This General Exception states that nothing is an offence which causes, or intends to cause, harm so slight that no person of ordinary sense and temper would complain of it. This is the doctrine of de minimis non curat lex (the law does not concern itself with trifles).","A trivial push in a crowded place; Taking a sip from someone's glass as a joke.","No Punishment (Exception)"
96,"Things done in private defence","This section introduces the right of private defence. Nothing is an offence which is done in the exercise of the right of private defence. This right is detailed in the following sections.","Using reasonable force to protect oneself from an assault.","No Punishment (Exception)"
97,"Right of private defence of the body and of property","This section specifies the two aspects of the right: 1) the right to defend one's own body or another's body against any offence affecting the human body; 2) the right to defend one's own property or another's property against certain offences like theft, robbery, mischief, or criminal trespass.","Defending your house against a burglar; defending a stranger from being attacked on the street.","N/A (Interpretive)"
98,"Right of private defence against the act of a person of unsound mind, etc.","This section states that the right of private defence exists even against an act of a person who, due to youth, unsoundness of mind, intoxication, or a mistake of fact, is not legally guilty of an offence. You can defend yourself against a harmful act even if the attacker is not criminally liable.","Defending yourself against an attack from a mentally ill person or a child who does not understand their actions.","No Punishment (Exception)"
99,"Acts against which there is no right of private defence","This section limits the right of private defence. There is no right: 1) against an act done by a public servant in good faith under colour of their office; 2) against an act done under the direction of a public servant; 3) where there is time to seek public authorities; 4) the force used must not be more than necessary.","You cannot claim private defence for attacking a police officer lawfully arresting you; You cannot shoot a thief who is running away unarmed.","N/A (Interpretive - Limits the right)"
100,"When the right of private defence of the body extends to causing death","This section specifies the extreme circumstances where the right of private defence of the body extends to voluntarily causing death or any other harm to the assailant. These include fear of death, grievous hurt, rape, unnatural lust, kidnapping, or abduction.","Using lethal force against an attacker armed with a deadly weapon; killing someone to prevent a rape or kidnapping.","No Punishment (Exception)"
101,"When such right extends to causing any harm other than death","This section acts as the default rule for the right of private defence of the body. If the circumstances do not fall under the extreme categories listed in S.100, the right of private defence still exists, but it does not extend to voluntarily causing death. It only extends to causing any harm short of death.","Defending against a slap by pushing the attacker away; Using minimal force to disarm an assailant wielding a stick, without intending to kill them.","No Punishment (Exception - if force is justified)"
102,"Commencement and continuance of the right of private defence of the body","This section defines the duration of the right of private defence of the body. The right commences as soon as a reasonable apprehension of danger to the body arises from an attempt or threat, and it continues as long as such apprehension of danger to the body persists.","The right starts the moment an attacker raises their fist to strike and continues until the attacker is subdued and retreats, ending the immediate threat.","N/A (Interpretive - Temporal Scope)"
103,"When the right of private defence of property extends to causing death","This section specifies the extreme circumstances where the right of private defence of property extends to voluntarily causing death. These include robbery, house-breaking by night, mischief by fire to a building (arson), or theft/mischief under such circumstances that may reasonably cause apprehension that death or grievous hurt will be the consequence if the right is not exercised.","Using lethal force against robbers breaking into one's home at night; killing someone who is setting fire to a dwelling house.","No Punishment (Exception)"
104,"When such right extends to causing any harm other than death","This section is the default rule for the right of private defence of property. If the circumstances do not fall under the extreme categories in S.103, the right still exists but only extends to causing any harm other than death.","Detaining a thief caught stealing in the daytime; using reasonable force to prevent a trespasser from entering property.","No Punishment (Exception - if force is justified)"
105,"Commencement and continuance of the right of private defence of property","This section defines the duration of the right of private defence of property. The right against theft continues until the offender has retreated with the property or until public authorities take charge. The right against criminal trespass or mischief continues as long as the offender continues in the act of trespass or mischief.","A property owner can chase a thief to recover stolen goods; the right exists until the thief gets away or is apprehended.","N/A (Interpretive - Temporal Scope)"
106,"Right of private defence against deadly assault when there is risk of harm to innocent person","This section addresses a complex scenario. If an right of private defence against an assault likely to cause death exists, but exercising that right risks harming an innocent person, the right still exists even if that harm is caused.","Being attacked in a crowded market; defending oneself with a weapon even if it might accidentally injure a bystander, provided the defensive action was necessary and reasonable.","No Punishment (Exception)"
107,"Abetment of a thing","This section defines the key term 'Abetment'. A person abets the doing of a thing if they: 1) Instigate another to do it; or 2) Engage with one or more persons in a conspiracy to do it; or 3) Intentionally aid the doing of that thing.","Persuading someone to commit forgery; forming a plan to commit a robbery; providing tools to a burglar.","Punishment as per the offence abetted (S.109)"
108,"Abettor","This section defines an 'Abettor'. A person abets an offence if they abet either the commission of an offence or the commission of an act which would be an offence if committed by a person capable of committing an offence. The abettor need not be present at the scene of the crime.","A person who hires a hitman is an abettor to murder, even if they are in another city when the murder occurs.","Punishment as per the offence abetted"
108A,"Abetment in India of offences outside India","This section extends liability for abetment. A person abets an offence outside India which is also an offence under the Indian Penal Code is guilty of abetting that offence, and can be tried in India.","Instigating from Mumbai a person in Nepal to commit murder, which is an offence in both countries.","Punishment as per the offence abetted"
109,"Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment","This is a fundamental punishment section for abetment. If the act abetted is committed as a consequence of the abetment, and no specific punishment for the abetment is provided, the abetment is punished with the punishment provided for the original offence.","If A instigates B to commit murder and B does so, A is punished as a murderer, even if A did not physically commit the act.","Punishment provided for the offence committed"
