process_name,description,step_by_step,related_sections,tips
"Transfer Petition","Application for transfer of case from one court to another.","1. Show valid grounds (apprehension of bias, convenience, interest of justice). 2. File before appropriate superior court. 3. Notice to opposite party. 4. Court decision based on merits of grounds.","CrPC Sec 406, CPC Sec 24","Requires strong justification. Supreme Court can transfer cases between states. Consider practical difficulties."
"Quashment Petition","Seeking to quash criminal proceedings as abuse of process.","1. File under Section 482 CrPC in High Court. 2. Show no prima facie case or legal bar. 3. Demonstrate abuse of process or injustice. 4. High Court may quash FIR or proceedings.","CrPC Sec 482","Invoked sparingly. Not for factual determination. Settlement in compoundable offences is good ground."
"Public Interest Litigation","Legal action for enforcement of public duty or rights.","1. File writ petition in High Court/Supreme Court. 2. Demonstrate public injury and legal right. 3. Show standing as public-spirited person/organization. 4. Court may issue directions to authorities.","Constitution Article 32, 226","Not for personal grievances. Focus on systemic issues. Prepare comprehensive research and data."
"Writ Petition","Constitutional remedy for enforcement of fundamental rights.","1. Engage lawyer for appropriate writ (habeas corpus, mandamus, certiorari, prohibition, quo warranto). 2. File in High Court (Article 226) or Supreme Court (Article 32). 3. Show violation of fundamental right or legal right. 4. Court may issue appropriate directions.","Constitution Article 32, 226","Extremely powerful remedy. Requires clear legal right violation. Alternative remedies may need exhaustion first."
"Interim Maintenance","Temporary financial support during pending legal proceedings.","1. File application in ongoing case (divorce, maintenance, domestic violence). 2. Show financial need and other party's capacity. 3. Court may order immediate payment based on prima facie case. 4. Adjustable in final order.","CrPC Sec 125, HMA Sec 24, DV Act Sec 20","Based on urgent need. Provide complete financial disclosures. Can be modified on changed circumstances."
"Child Custody Application","Seeking legal and physical custody of children.","1. File in family court with welfare plan for child. 2. Court considers child's age, wishes, parental capacity. 3. May order interim arrangements during case. 4. Final order based on child's best interests.","Guardian and Wards Act 1890, HMA Sec 26","Child's welfare is paramount. Consider child's preference if mature enough. Custody can be joint, sole, or shared."
"Visitorial Rights","Regulating access and time spent with child by non-custodial parent.","1. Application in ongoing custody case or separate petition. 2. Propose specific schedule considering child's routine. 3. Court may order supervised or unsupervised access. 4. Enforcement through court for violations.","Guardian and Wards Act Sec 12","Focus on child's comfort and routine. Be flexible and child-centric. Violations can lead to access modification."
"Property Mutation","Updating land records to reflect change of ownership.","1. Apply to Tehsildar/Revenue Officer with proof of title. 2. Submit required documents (sale deed, succession certificate, etc.). 3. Notice to interested parties for objections. 4. Order passed and records updated.","State Land Revenue Codes","Not proof of title but important for records. Pay applicable fees. Verify mutation entry carefully."
"Will Probate","See Probate of Will","","",""
"Tenancy Eviction","Legal process for removing tenant from rented property.","1. Issue valid notice to vacate as per rent agreement. 2. File eviction suit in competent court on valid grounds. 3. Prove grounds (non-payment, subletting, own need, etc.). 4. Obtain eviction decree and execute through court.","Rent Control Acts (state-specific)","Follow due process - no self-help eviction. Grounds vary by state laws. Maintain all payment records."
"Labour Court Complaint","Seeking redressal for employment-related disputes.","1. File complaint in labour court/industrial tribunal. 2. Raise industrial dispute through appropriate union. 3. Conciliation proceedings attempted first. 4. Adjudication through evidence and arguments.","Industrial Disputes Act 1947","File within time limits. Maintain employment proof. Many rights are statutory and cannot be waived."
"Motor Accident Claim","Compensation claim for injuries/death in road accidents.","1. File application before Motor Accident Claims Tribunal. 2. Submit police report, medical records, expense proofs. 3. Tribunal determines fault and compensation amount. 4. Award enforceable through court processes.","Motor Vehicles Act Sec 166","File within 6 months (flexible). Interim compensation available. Insurance company is necessary party."
"Consumer Court Complaint","See Consumer Complaint","","",""
"Passport Police Verification","Background check conducted for passport issuance.","1. Passport Authority sends verification request to local police. 2. Police visit applicant's residence for verification. 3. Check criminal records and address authenticity. 4. Submit report to Passport Authority.","Passport Act 1967","Ensure address proof documents are accurate. Be available at given address. Follow up if delayed beyond 3 weeks."
"Right to Information","See RTI Application","","",""
"Legal Heir Certificate","Document identifying legal heirs of deceased person.","1. Apply to Tahsildar/Revenue Officer with death certificate. 2. Submit affidavit listing all legal heirs. 3. Newspaper publication for objections. 4. Certificate issued after verification.","State-specific regulations","Required for claiming insurance, bank accounts. Different from succession certificate. Heirs must apply jointly."
"Non-Compoundable Offence Compromise","Settlement in non-compoundable offences with court permission.","1. File joint compromise application before trial court. 2. Show genuine settlement between parties. 3. Court may permit compromise in suitable cases. 4. Accused acquitted based on compromise.","CrPC Sec 320","Only for certain non-compoundable offences with court permission. Not available for serious crimes against society."
"Compoundable Offence Settlement","Settlement of compoundable offences without court permission.","1. Parties reach settlement outside court. 2. File compounding application before court. 3. Court records compromise and acquits accused. 4. Case records reflect settlement.","CrPC Sec 320","Available for less serious offences. Once compounded, cannot be revived. Obtain court order for record."
"Default Bail","Statutory right to bail if investigation not completed within time.","1. Calculate maximum investigation period (90/60 days). 2. File application on first day after period expires. 3. Court must grant bail if charge sheet not filed. 4. Furnish bail bond and get released.","CrPC Sec 167(2)","Right is automatic. Must apply before charge sheet filing. Not available if delay due to accused's fault."
"Zero FIR","FIR registered at any police station regardless of jurisdiction.","1. Approach any police station to report cognizable offence. 2. Police must register FIR and not refuse for jurisdiction reasons. 3. FIR transferred to concerned police station for investigation. 4. Original station provides copy to complainant.","CrPC Sec 154","Your right to file at any station. Get acknowledgement of Zero FIR. Follow up with concerned station after transfer."
"Bail Cancellation","Application for cancellation of granted bail.","1. File application in court that granted bail. 2. Show violation of conditions or interference with investigation. 3. Prove abuse of liberty or new adverse circumstances. 4. Court may cancel bail and order custody.","CrPC Sec 437(5), 439(2)","Requires strong grounds. Gather evidence of violations. Can be filed by prosecution or affected party."
"Witness Summons","Court order directing witness to appear and testify.","1. Party applies to court for witness summons. 2. Court issues summons with witness expenses. 3. Witness must appear as directed. 4. Non-appearance may lead to warrant or penalty.","CrPC Sec 311, CPC Order 16","Witnesses entitled to travel allowance. Seek protection if fearing threat. Testimony under oath is mandatory."
"Evidence Affidavit","Written testimony submitted as evidence in court.","1. Prepare detailed affidavit covering all facts. 2. Swear before notary/oath commissioner. 3. File in court with copies to opposite party. 4. Subject to cross-examination.","CPC Order 18 Rule 4, CrPC Sec 296","Be truthful and complete. Keep supporting documents ready. Inconsistencies may damage credibility."
"Cross-Examination","Questioning of witness by opposite party to test testimony.","1. Study witness's evidence affidavit carefully. 2. Prepare specific questions to challenge credibility. 3. Ask clear, precise questions during hearing. 4. Use previous statements for contradictions.","CPC Order 18 Rule 4, Evidence Act Sec 137-138","Listen carefully to answers. Don't argue with witness. Use documents to confront inconsistencies."
"FIR Copy Obtaining","Procedure to get certified copy of First Information Report.","1. Approach the police station where FIR registered. 2. Apply in writing or through prescribed application form. 3. Pay requisite fees if applicable. 4. Obtain certified copy with FIR number and details.","CrPC Sec 154(2)","Your right to get free copy. If refused, approach SP or court. Keep copy safe for all future reference."
"Case Status Checking","Methods to check progress of court cases or police investigations.","1. For court cases: Use district court website or e-Courts portal with case number. 2. For police cases: Visit station or use state police portal with FIR number. 3. Through RTI application to department. 4. Engage lawyer for regular updates.","Various state and central portals","Maintain case number safely. Set hearing date reminders. Regular follow-up prevents missing dates."
"Legal Aid Application","Seeking free legal services from state authorities.","1. Apply to District Legal Services Authority. 2. Submit income proof and case details. 3. Eligibility check based on income and case type. 4. Panel lawyer assigned if eligible.","Legal Services Authorities Act 1987","Available for women, SC/ST, poor, disabled. Services include advice, litigation and mediation. Approach DLSA office in district court complex."
"Property Attachment","Court order seizing property in execution proceedings.","1. File execution petition for decree for money. 2. Identify specific property for attachment. 3. Court issues attachment order prohibiting transfer. 4. Inventory prepared and property taken into custody.","CPC Order 21 Rule 43-54","Attachment doesn't transfer ownership. Third party claims can be filed. Leads to auction if decree not satisfied."
"Judgment Copy Obtaining","Procedure to get certified copy of court judgment.","1. Apply to court clerk after judgment is pronounced. 2. Pay prescribed copying fees. 3. Copy ready in 3-7 usually. 4. Verify all details and signatures.","CPC Order 20 Rule 6-B","Essential for appeals and enforcement. Check for errors immediately. Free copy for accused in criminal cases."
"Appeal Filing","Challenge to lower court's decision before higher court.","1. File memorandum of appeal with judgment copy. 2. Pay court fees and ensure within limitation period. 3. Serve notice to respondent. 4. Present grounds challenging legal errors.","CPC Sec 96-100, CrPC Sec 372-374","File within 30-90 days depending on case type. Stay application may be needed. Only on questions of law, not facts."
"Review Petition","Seeking review of court's own judgment on specific grounds.","1. File within 30 days of judgment. 2. Show error apparent on face of record or new evidence. 3. Heard by same bench usually. 4. Court may dismiss, modify or reverse its decision.","CPC Sec 114, Order 47; CrPC Sec 362","Narrow grounds available. Not rehearing of case. Rarely granted except clear errors."
"Curative Petition","Final remedy after dismissal of review petition in Supreme Court.","1. File after review petition dismissed. 2. Show gross violation of natural justice or bias. 3. Heard by three senior-most judges. 4. Extremely rare relief granted only in exceptional circumstances.","Supreme Court Rules","Last judicial remedy. Requires strong grounds of injustice. Usually heard in chambers without oral arguments."
"Mercy Petition","Appeal to President/Governor for pardon in death penalty cases.","1. File after exhausting all judicial remedies. 2. Submit through prison authorities to Home Department. 3. Considered on advice of government. 4. Decision based on various factors including public opinion.","Constitution Article 72, 161","Final constitutional remedy. No time limit for decision. Can be filed by anyone on behalf of convict."
