type,title,content
section,Section 40 - Offence,"This section defines the term 'Offence'. It denotes a thing made punishable by the Indian Penal Code. In subsequent parts of the Code, it is also used to denote a thing punishable under a special or local law.. Punishment: N/A (Interpretive)"
section,Section 41 - Special Law,"This section defines a 'Special Law' as a law applicable to a particular subject, class, or area, as opposed to a general law like the IPC.. Punishment: N/A (Interpretive)"
section,Section 42 - Local Law,This section defines a 'Local Law' as a law applicable only to a specific part of India.. Punishment: N/A (Interpretive)
section,Section 43 - Illegal / Legally Bound to Do,"This section defines 'illegal'. It applies to everything which is an offence, or which is prohibited by law, or which furnishes ground for a civil lawsuit. It also defines 'legally bound to do' as anything the law requires to be done.. Punishment: N/A (Interpretive)"
section,Section 44 - Injury,"This section defines 'injury' very broadly. It denotes any harm whatever illegally caused to any person, in body, mind, reputation, or property.. Punishment: N/A (Interpretive)"
section,Section 45 - Life,"This section defines 'Life' as the life of a human being, unless the context indicates otherwise. This definition is crucial for offences against the human body.. Punishment: N/A (Interpretive)"
section,Section 46 - Death,This section defines 'Death' as the death of a human being.. Punishment: N/A (Interpretive)
section,Section 47 - Animal,This section defines 'Animal' as any living creature other than a human being.. Punishment: N/A (Interpretive)
section,Section 48 - Vessel,This section defines 'Vessel' as anything made for the conveyance by water of human beings or property. This includes everything from a large ship to a small boat.. Punishment: N/A (Interpretive)
section,Section 49 - Year / Month,"This section states that wherever the word 'year' or 'month' is used, it is to be understood according to the British Gregorian calendar. A 'year' means 12 months, a 'month' means 30 days.. Punishment: N/A (Interpretive)"
section,Section 50 - Section,This section states that the word 'section' refers to a section of the Indian Penal Code itself. The word is to be understood in this sense throughout the Code.. Punishment: N/A (Interpretive)
section,Section 51 - Oath,This section defines the term 'oath' to include a solemn affirmation and every declaration mandated by law where an person is bound to tell the truth. This is crucial for offences related to false evidence.. Punishment: N/A (Interpretive)
section,Section 52 - Good Faith,This is a vital defensive concept. An thing is said to be done or believed in 'good faith' if it is done with due care and attention. Mere carelessness is not good faith; honesty of purpose must be accompanied by diligence.. Punishment: N/A (Interpretive - Often a defense)
section,Section 53 - Punishment,"This section defines 'punishment' under the IPC. The punishments to which offenders are liable are: Death, Imprisonment for life (as defined in S.55), Imprisonment (rigorous or simple), Forfeiture of property, and Fine.. Punishment: As per the specific section: Death, Imprisonment, Fine, Forfeiture"
section,Section 53A - Construction of reference to transportation,"[Repealed] This section, which dealt with the punishment of transportation, has been omitted as the punishment is no longer awarded.. Punishment: nan"
section,Section 54 - Commutation of sentence of death,This section states that the appropriate Government has the power to commute a sentence of death to any other punishment authorized by the IPC.. Punishment: N/A (Procedural)
section,Section 55 - Commutation of sentence of imprisonment for life,This section states that the appropriate Government has the power to commute a sentence of imprisonment for life to imprisonment for a term not exceeding fourteen years or to a fine.. Punishment: N/A (Procedural)
section,Section 55A - Definition of appropriate Government,"This section defines 'appropriate Government' for the purposes of Sections 54 and 55. It means the Central Government for cases investigated by Delhi Special Police Establishment (CBI) or under a Central Act, and the State Government in other cases.. Punishment: N/A (Interpretive)"
section,Section 56 - Sentence of Europeans and Americans to penal servitude,[Repealed] This racially discriminatory section has been omitted.. Punishment: nan
section,Section 57 - Fractions of terms of punishment,"This section provides a rule of calculation: when calculating a fraction of a term of imprisonment, imprisonment for life shall be reckoned as equivalent to imprisonment for twenty years. This is for calculation purposes only and does not mean a life sentence is 20 years.. Punishment: N/A (Interpretive - Calculation Rule)"
section,Section 58 - Offenders sentenced to transportation how dealt with until transported,[Repealed] This section has been omitted.. Punishment: nan
section,Section 59 - Transportation instead of imprisonment,[Repealed] This section has been omitted.. Punishment: nan
section,Section 60 - Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple,"This section grants courts the discretion to declare whether a sentence of imprisonment shall be rigorous (involving hard labour) or simple, or that part shall be one and part the other.. Punishment: Imprisonment (Rigorous/Simple)"
section,Section 61 - Sentence of forfeiture of property,"[Repealed] This section, which provided for the sentence of forfeiture of property, has been omitted.. Punishment: nan"
section,Section 62 - Forfeiture of property in respect of offenders punishable with death,[Repealed] This section has been omitted.. Punishment: nan
section,Section 63 - Amount of fine,"This section states that when no sum is expressed to which a fine may extend, the amount of fine that may be imposed is unlimited, but it shall not be excessive.. Punishment: Fine (amount at court's discretion)"
section,Section 64 - Sentence of imprisonment for non-payment of fine,This section allows a court to impose a term of imprisonment in default of payment of a fine. This imprisonment is in addition to a substantive sentence of imprisonment for the offence.. Punishment: Imprisonment in default of fine (in addition to main punishment)
section,"Section 65 - Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable",This section limits the term of imprisonment in default of fine. It must not exceed one-fourth of the maximum term of imprisonment fixed for the offence by the Code.. Punishment: Imprisonment not exceeding 1/4th of the maximum term for the offence
section,Section 66 - Description of imprisonment for non-payment of fine,This section states that the imprisonment awarded in default of payment of a fine shall be simple imprisonment.. Punishment: Simple Imprisonment
section,"Section 67 - Imprisonment for non-payment of fine, when offence punishable with fine only","If the offence is punishable with fine only, the imprisonment in default of payment can be simple, and the term is limited by a scale based on the fine amount (e.g., up to 2 months for a fine of Rs. 50).. Punishment: Simple Imprisonment (as per scale in the section)"
section,Section 68 - Imprisonment to terminate on payment of fine,This section states that the imprisonment in default of paying a fine shall terminate whenever the fine is paid.. Punishment: N/A (Procedural)
section,Section 69 - Termination of imprisonment on payment of proportional part of fine,"If a fine is imposed with an alternative imprisonment and the fine is not paid, any part of the imprisonment already undergone shall be credited against the fine at a proportional rate.. Punishment: N/A (Procedural)"
section,"Section 70 - Fine leviable within six years, or during imprisonment—Death not to discharge property from liability",This section sets a six-year time limit for executing a fine (like recovering a debt). It also states that the death of the offender does not discharge their property from liability for the fine.. Punishment: N/A (Limitation & Liability)
section,Section 71 - Limit of punishment of offence made up of several offences,"Where an act constitutes multiple offences, or where a single act is both an offence itself and part of a larger offence, the offender cannot be punished more than once. They shall be punished for the offence which provides the greater punishment.. Punishment: Punishment for the graver offence only"
section,"Section 72 - Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which","In a case where it is doubtful which of several offences the facts prove, the offender shall be punished for the offence for which the lowest punishment is provided.. Punishment: Punishment for the offence with the lowest penalty"
section,Section 73 - Solitary confinement,"This section regulates the imposition of solitary confinement. It can only be imposed as part of a rigorous imprisonment sentence. Its duration must not exceed three months in total, with specific limits based on the sentence length.. Punishment: Solitary Confinement (subject to limits in S.73, S.74)"
section,Section 74 - Limit of solitary confinement,"This section provides the precise limits: solitary confinement shall not exceed fourteen days at a time, with intervals of at least fourteen days between each period, and shall not exceed three months in total.. Punishment: Solitary Confinement (as per the specified limits)"
section,Section 75 - Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction,"This section provides for enhanced punishment for a person who, having been previously convicted of an offence under Chapter XII (Offences against property) or Chapter XVII (Offences against property), is again convicted of any such offence.. Punishment: Imprisonment which may extend to ten years (for the specific repeat offence)"
section,"Section 76 - Act done by a person bound, or by mistake of fact believing himself bound, by law","This is the first General Exception. It excuses an act done by a person who is, or who by a mistake of fact believes themselves to be, bound by law to do it.. Punishment: No Punishment (Exception)"
section,Section 77 - Act of Judge when acting judicially,"This General Exception protects a Judge acting in their judicial capacity, provided they believe in good faith that they have jurisdiction to act.. Punishment: No Punishment (Exception)"
section,Section 78 - Act done pursuant to the judgment or order of Court,"This General Exception protects any person who executes a Court's judgment or order, even if the Court later turns out to have no jurisdiction, provided the person executing it believed in good faith the Court had jurisdiction.. Punishment: No Punishment (Exception)"
section,"Section 79 - Act done by a person justified, or by mistake of fact believing himself justified, by law","This General Exception excuses an act done by anyone who is justified by law, or who by a mistake of fact (not mistake of law) believes themselves to be justified by law, in doing it.. Punishment: No Punishment (Exception)"
section,Section 80 - Accident in doing a lawful act,"This General Exception excuses an act that is accidental and occurs while doing a lawful act, in a lawful manner, by lawful means, and with proper care and caution.. Punishment: No Punishment (Exception)"
section,"Section 81 - Act likely to cause harm, but done without criminal intent, and to prevent other harm","This General Exception excuses an act not intended to cause harm, and done to prevent or avoid harm to person or property, provided the harm caused is proportionate.. Punishment: No Punishment (Exception)"
section,Section 82 - Act of a child under seven years of age,"This General Exception provides absolute immunity from criminal liability for a child under seven years of age, due to a presumption of incapacity to form criminal intent (doli incapax).. Punishment: No Punishment (Exception)"
section,Section 83 - Act of a child above seven and under twelve of immature understanding,This General Exception provides immunity for a child between seven and twelve years of age if they have not attained sufficient maturity of understanding to judge the nature and consequences of their conduct.. Punishment: No Punishment (Exception)
section,Section 84 - Act of a person of unsound mind,"This General Exception excuses an act done by a person who, at the time of doing it, was incapable of knowing the nature of the act or that it was wrong or contrary to law, due to unsoundness of mind.. Punishment: No Punishment (Exception)"
section,Section 85 - Act of a person incapable of judgment by reason of intoxication caused against his will,"This General Exception excuses an act done by an intoxicated person, provided the intoxication was caused without their will or knowledge (e.g., forced, drugged, or deceived).. Punishment: No Punishment (Exception)"
section,Section 86 - Offence requiring a particular intent or knowledge committed by one who is intoxicated,"This section qualifies S.85. Voluntary intoxication does not excuse an offence. However, if an offence requires a specific intent (e.g., murder requires intent to kill), the court can consider whether the intoxication prevented the formation of that specific intent.. Punishment: Punishment for the offence (but intent may be negated for specific intent crimes)"
section,"Section 87 - Act not intended and not known to be likely to cause death or grievous hurt, done by consent","This General Exception excuses an act not intended to cause death or grievous hurt, done with the consent of the victim (express or implied), even if it causes harm.. Punishment: No Punishment (Exception)"
section,"Section 88 - Act not intended to cause death, done by consent in good faith for person's benefit","This General Exception excuses an act done in good faith for the benefit of a person, even without their consent, provided it does not intend to cause death and the person cannot give consent. A surgeon performing an operation is protected.. Punishment: No Punishment (Exception)"
section,"Section 89 - Act done in good faith for benefit of child or insane person, by or by consent of guardian","This General Exception excuses an act done in good faith for the benefit of a child under 12 or a person of unsound mind, by their guardian or with the guardian's consent, provided it is not intended to cause death or grievous hurt.. Punishment: No Punishment (Exception)"
section,Section 90 - Consent known to be given under fear or misconception,"This section defines what is *not* valid consent. Consent is not valid if given under fear of injury, misconception of fact, by a person of unsound mind, or by a child under 12 unless given by their guardian.. Punishment: N/A (Interpretive - vitiates consent)"
section,Section 91 - Exclusion of acts which are offences independently of harm caused,"The exceptions in S.87, S.88, and S.89 do not apply to acts that are offences by themselves, regardless of whether they cause harm or are done with consent.. Punishment: N/A (Interpretive - Limits exceptions)"
section,Section 92 - Act done in good faith for benefit of a person without consent,"This General Exception excuses an act done in good faith for the benefit of a person without their consent, where it is impossible to obtain consent and the act does not intend to cause death.. Punishment: No Punishment (Exception)"
section,Section 93 - Communication made in good faith,"This General Exception excuses a communication made in good faith for the benefit of the person it is made to. It protects advice given honestly, even if it turns out to be harmful.. Punishment: No Punishment (Exception)"
section,Section 94 - Act to which a person is compelled by threats,This General Exception excuses an act (other than murder and offences against the state punishable with death) done under threats that reasonably cause apprehension of instant death. The threat must be present and immediate.. Punishment: No Punishment (Exception) (Except for murder and certain state offences)
section,Section 95 - Act causing slight harm,"This General Exception states that nothing is an offence which causes, or intends to cause, harm so slight that no person of ordinary sense and temper would complain of it. This is the doctrine of de minimis non curat lex (the law does not concern itself with trifles).. Punishment: No Punishment (Exception)"
section,Section 96 - Things done in private defence,This section introduces the right of private defence. Nothing is an offence which is done in the exercise of the right of private defence. This right is detailed in the following sections.. Punishment: No Punishment (Exception)
section,Section 97 - Right of private defence of the body and of property,"This section specifies the two aspects of the right: 1) the right to defend one's own body or another's body against any offence affecting the human body; 2) the right to defend one's own property or another's property against certain offences like theft, robbery, mischief, or criminal trespass.. Punishment: N/A (Interpretive)"
section,"Section 98 - Right of private defence against the act of a person of unsound mind, etc.","This section states that the right of private defence exists even against an act of a person who, due to youth, unsoundness of mind, intoxication, or a mistake of fact, is not legally guilty of an offence. You can defend yourself against a harmful act even if the attacker is not criminally liable.. Punishment: No Punishment (Exception)"
section,Section 99 - Acts against which there is no right of private defence,This section limits the right of private defence. There is no right: 1) against an act done by a public servant in good faith under colour of their office; 2) against an act done under the direction of a public servant; 3) where there is time to seek public authorities; 4) the force used must not be more than necessary.. Punishment: N/A (Interpretive - Limits the right)
section,Section 100 - When the right of private defence of the body extends to causing death,"This section specifies the extreme circumstances where the right of private defence of the body extends to voluntarily causing death or any other harm to the assailant. These include fear of death, grievous hurt, rape, unnatural lust, kidnapping, or abduction.. Punishment: No Punishment (Exception)"
section,Section 101 - When such right extends to causing any harm other than death,"This section acts as the default rule for the right of private defence of the body. If the circumstances do not fall under the extreme categories listed in S.100, the right of private defence still exists, but it does not extend to voluntarily causing death. It only extends to causing any harm short of death.. Punishment: No Punishment (Exception - if force is justified)"
section,Section 102 - Commencement and continuance of the right of private defence of the body,"This section defines the duration of the right of private defence of the body. The right commences as soon as a reasonable apprehension of danger to the body arises from an attempt or threat, and it continues as long as such apprehension of danger to the body persists.. Punishment: N/A (Interpretive - Temporal Scope)"
section,Section 103 - When the right of private defence of property extends to causing death,"This section specifies the extreme circumstances where the right of private defence of property extends to voluntarily causing death. These include robbery, house-breaking by night, mischief by fire to a building (arson), or theft/mischief under such circumstances that may reasonably cause apprehension that death or grievous hurt will be the consequence if the right is not exercised.. Punishment: No Punishment (Exception)"
section,Section 104 - When such right extends to causing any harm other than death,"This section is the default rule for the right of private defence of property. If the circumstances do not fall under the extreme categories in S.103, the right still exists but only extends to causing any harm other than death.. Punishment: No Punishment (Exception - if force is justified)"
section,Section 105 - Commencement and continuance of the right of private defence of property,This section defines the duration of the right of private defence of property. The right against theft continues until the offender has retreated with the property or until public authorities take charge. The right against criminal trespass or mischief continues as long as the offender continues in the act of trespass or mischief.. Punishment: N/A (Interpretive - Temporal Scope)
section,Section 106 - Right of private defence against deadly assault when there is risk of harm to innocent person,"This section addresses a complex scenario. If an right of private defence against an assault likely to cause death exists, but exercising that right risks harming an innocent person, the right still exists even if that harm is caused.. Punishment: No Punishment (Exception)"
section,Section 107 - Abetment of a thing,This section defines the key term 'Abetment'. A person abets the doing of a thing if they: 1) Instigate another to do it; or 2) Engage with one or more persons in a conspiracy to do it; or 3) Intentionally aid the doing of that thing.. Punishment: Punishment as per the offence abetted (S.109)
section,Section 108 - Abettor,This section defines an 'Abettor'. A person abets an offence if they abet either the commission of an offence or the commission of an act which would be an offence if committed by a person capable of committing an offence. The abettor need not be present at the scene of the crime.. Punishment: Punishment as per the offence abetted
section,Section 108A - Abetment in India of offences outside India,"This section extends liability for abetment. A person abets an offence outside India which is also an offence under the Indian Penal Code is guilty of abetting that offence, and can be tried in India.. Punishment: Punishment as per the offence abetted"
section,Section 109 - Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment,"This is a fundamental punishment section for abetment. If the act abetted is committed as a consequence of the abetment, and no specific punishment for the abetment is provided, the abetment is punished with the punishment provided for the original offence.. Punishment: Punishment provided for the offence committed"
section,Section 110 - Punishment of abetment if person abetted does act with different intention from that of abettor,"This section holds an abettor liable for the act committed, even if the person abetted acts with a different intention or knowledge from that of the abettor. The act done is considered a consequence of the abetment.. Punishment: Punishment provided for the offence committed"
section,Section 111 - Liability of abettor when one act abetted and different act done,"This section states that if the act done is a probable consequence of the abetment and differs from the act abetted, the abettor is liable for the act done in the same manner as if they had abetted that actual act.. Punishment: Punishment provided for the offence actually committed"
section,Section 112 - Abettor when liable to cumulative punishment for act abetted and for act done,"If an act for which the abettor is liable under S.111 is itself an offence, and the abettor is also liable under another section for abetting a different offence, they may receive cumulative punishment for both.. Punishment: Cumulative punishment as per the two offences"
section,Section 113 - Liability of abettor for an effect caused by the act abetted different from that intended by the abettor,"This section makes an abettor liable for an effect caused by the act abetted that is different from what they intended, provided the act done was a likely consequence of the abetment.. Punishment: Punishment provided for the offence caused"
section,Section 114 - Abettor present when offence is committed,"This section creates a harsher presumption. Whenever any person who if absent would be liable to be punished as an abettor, is present when the offence is committed, they are deemed to have committed the offence itself.. Punishment: Punishment provided for the offence committed"
section,Section 115 - Abetment of offence punishable with death or imprisonment for life—if offence not committed,"This section punishes the abetment of specific serious offences (punishable with death or life imprisonment) even if the offence is not committed or is only committed in part. If no express provision exists, the abettor can be imprisoned for up to 7 years and also fined.. Punishment: Imprisonment up to 7 years and fine"
section,Section 116 - Abetment of offence punishable with imprisonment—if offence not committed,"This section punishes the abetment of any offence punishable with imprisonment, even if the offence is not committed. If the abettor is a public servant whose duty is to prevent the offence, the punishment is more severe.. Punishment: Imprisonment up to one-fourth of the maximum for the offence, or fine, or both (more if public servant)"
section,Section 117 - Abetting commission of offence by the public or by more than ten persons,"This section punishes abetment of an offence by the public generally or by any number of persons exceeding ten. It targets those who incite mobs or large groups to commit crimes.. Punishment: Imprisonment up to 3 years, or fine, or both"
section,Section 118 - Concealing design to commit offence punishable with death or imprisonment for life,"This section punishes a person who, knowing a design to commit an offence punishable with death or life imprisonment, intentionally conceals that design or fails to inform the authorities. It requires the offence to not have been committed.. Punishment: Imprisonment up to 3 years, or fine, or both"
section,Section 119 - Public servant concealing design to commit offence which it is their duty to prevent,"This section is a stricter version of S.118 for public servants. If a public servant, knowing a design to commit any offence (not just serious ones) which they have a duty to prevent, conceals it, they are punishable.. Punishment: Imprisonment up to one-half the maximum for the offence, or fine, or both"
section,Section 120 - Concealing design to commit offence punishable with imprisonment,"This section punishes the concealment of a design to commit any offence punishable with imprisonment, if that offence is committed. If the offence is not committed, the punishment is lower.. Punishment: Imprisonment up to one-fourth the maximum for the offence, or fine, or both (lesser if offence not committed)"
section,Section 120A - Definition of criminal conspiracy,"This section defines 'criminal conspiracy'. It is an agreement between two or more persons to do an illegal act, or to do a legal act by illegal means. Mere agreement is enough; no overt act needs to be taken in furtherance of the agreement.. Punishment: Punishment as per S.120B"
section,Section 120B - Punishment of criminal conspiracy,"This section punishes criminal conspiracy. If the subject of the conspiracy is a serious offence (punishable with death, life imprisonment, or rigorous imprisonment for 2+ years), the punishment is the same as for abetting that offence. For other conspiracies, the punishment is imprisonment up to 6 months, or fine, or both.. Punishment: Same as abetment of that offence; or up to 6 months imprisonment/fine for other offences"
section,"Section 121 - Waging, or attempting to wage war, or abetting waging of war, against the Government of India","This is one of the most serious offences against the state. It involves waging war, attempting to wage war, or abetting the waging of war against the Government of India. This implies a concerted, violent uprising.. Punishment: Death, or Imprisonment for life and fine"
section,Section 121A - Conspiracy to commit offences punishable by Section 121,"This section specifically punishes conspiracy to commit any of the offences under S.121 (waging war against the Government of India). The conspiracy itself is a separate, serious offence.. Punishment: Imprisonment for life, or imprisonment up to 10 years and fine"
section,"Section 122 - Collecting arms, etc., with intention of waging war against the Government of India","This section punishes the collection of arms, ammunition, or otherwise preparing to wage war against the Government of India, with the intention of either waging such war or enabling others to do so.. Punishment: Imprisonment for life, or imprisonment up to 10 years and fine"
section,Section 123 - Concealing with intent to facilitate design to wage war,"This section punishes anyone who, knowing a design to wage war exists, intentionally conceals it or provides any information or equipment that might help conceal the design or facilitate its accomplishment.. Punishment: Imprisonment up to 10 years and fine"
section,"Section 124 - Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power","This section punishes assaulting or wrongfully restraining the President of India, a Governor of a state, or any minister, with the intent to induce or compel them to exercise or refrain from exercising their lawful powers.. Punishment: Imprisonment up to 7 years and fine"
section,Section 124A - Sedition,"This section defines and punishes the offence of Sedition. It involves bringing or attempting to bring into hatred or contempt, or exciting or attempting to excite disaffection towards, the Government established by law in India. This does not include strong criticism without incitement to violence or public disorder.. Punishment: Imprisonment for life (with fine), or imprisonment up to 3 years (with fine), or fine"
section,Section 125 - Waging war against any Asiatic Power in alliance with the Government of India,"This section punishes waging war against the government of any Asian power that is in alliance or at peace with the Government of India. It protects international relations and peace.. Punishment: Imprisonment for life (with fine), or imprisonment up to 7 years (with fine), or fine"
section,Section 126 - Committing depredation on territories of Power at peace with the Government of India,"This section punishes committing depredation (plundering, raiding) on the territories of any power at peace with the Government of India. It is aimed at preventing unauthorized cross-border military actions.. Punishment: Imprisonment up to 7 years and fine (and forfeiture of property used)"
section,Section 127 - Receiving property taken by war or depredation mentioned in sections 125 and 126,This section punishes receiving property that has been acquired through waging war or depredation as described in S.125 and S.126. It targets those who benefit from such illicit activities.. Punishment: Imprisonment up to 7 years and fine (and forfeiture of such property)
section,Section 128 - Public servant voluntarily allowing prisoner of state or war to escape,"This section punishes a public servant who is charged with guarding any prisoner of state or of war and who voluntarily allows that prisoner to escape.. Punishment: Imprisonment for life, or imprisonment up to 10 years and fine"
section,Section 129 - Public servant negligently suffering prisoner of state or war to escape,"This section punishes a public servant who, due to negligence or neglect of duty, allows a prisoner of state or of war to escape.. Punishment: Simple imprisonment up to 3 years and fine"
